oa_code,All people aged 3 and over,Speaks English very well,Speaks English well,Does not speak English well,Does not speak English at all
S00089566,136,124,11,0,1
S00089567,164,103,41,17,3
S00089568,173,133,29,9,2
S00089569,109,77,11,16,5
S00089570,128,98,21,7,2
S00089571,142,123,16,3,0
S00089572,76,68,6,0,2
S00089573,98,83,11,3,1
S00089574,79,62,14,3,0
S00089575,68,54,14,0,0
S00089576,116,100,12,4,0
S00089577,85,66,11,5,3
S00089578,102,78,16,8,0
S00089579,81,65,12,4,0
S00089580,98,53,31,11,3
S00089581,83,48,20,12,3
S00089582,108,51,37,19,1
S00089583,128,88,27,13,0
S00089584,62,48,12,2,0
S00089585,122,108,12,2,0
S00089586,98,63,23,10,2
S00089587,67,61,5,1,0
S00089588,85,81,3,1,0
S00089589,83,78,4,1,0
S00089590,106,88,17,1,0
S00089591,117,86,18,12,1
S00089592,86,59,19,5,3
S00089593,117,89,22,4,2
S00089594,74,38,16,18,2
S00089595,136,108,25,2,1
S00089596,98,85,5,8,0
S00089597,115,72,28,13,2
S00089598,53,42,8,3,0
S00089599,123,88,24,9,2
S00089600,47,33,8,6,0
S00089601,69,55,8,6,0
S00089602,110,77,24,9,0
S00089603,88,71,15,2,0
S00089604,75,63,9,3,0
S00089605,132,101,24,5,2
S00089606,121,88,28,4,1
S00089607,137,94,38,5,0
S00089608,59,50,8,1,0
S00089609,88,47,25,14,2
S00089610,127,109,14,2,2
S00089611,84,64,18,1,1
S00089612,91,51,22,15,3
S00089613,62,56,6,0,0
S00089614,166,110,38,17,1
S00089615,117,85,23,9,0
S00089616,114,64,31,17,2
S00089617,139,71,34,30,4
S00089618,104,60,29,14,1
S00089619,119,58,33,24,4
S00089620,139,70,38,23,8
S00089621,51,41,9,1,0
S00089622,83,70,11,2,0
S00089623,102,91,7,4,0
S00089624,74,68,5,1,0
S00089625,107,92,13,2,0
S00089626,154,142,12,0,0
S00089627,70,63,3,2,2
S00089628,112,93,16,3,0
S00089629,160,118,31,8,3
S00089630,99,56,28,12,3
S00089631,105,72,30,2,1
S00089632,106,88,14,4,0
S00089633,399,339,52,7,1
S00089634,104,94,10,0,0
S00089635,60,50,8,2,0
S00089636,119,103,14,2,0
S00089637,59,47,12,0,0
S00089638,99,79,16,4,0
S00089639,92,86,4,1,1
S00089640,120,111,7,2,0
S00089641,60,52,8,0,0
S00089642,61,49,8,2,2
S00089643,126,112,10,3,1
S00089644,173,123,28,17,5
S00089645,154,106,32,13,3
S00089646,128,112,12,4,0
S00089647,147,136,10,1,0
S00089648,64,57,6,1,0
S00089649,105,85,15,4,1
S00089650,127,113,13,1,0
S00089651,394,344,46,4,0
S00089652,141,131,10,0,0
S00089653,111,98,11,2,0
S00089654,99,89,9,1,0
S00089655,83,78,5,0,0
S00089656,82,67,11,3,1
S00089657,72,58,12,2,0
S00089658,121,103,14,4,0
S00089659,217,196,16,5,0
S00089660,123,101,16,6,0
S00089661,125,108,12,5,0
S00089662,93,84,8,1,0
S00089663,115,105,8,1,1
S00089664,67,58,5,4,0
S00089665,98,89,4,4,1
S00089666,89,82,6,1,0
S00089667,59,56,3,0,0
S00089668,87,73,12,2,0
S00089669,131,103,20,8,0
S00089670,72,63,8,1,0
S00089671,313,284,29,0,0
S00089672,113,101,12,0,0
